;b1;b2;c1;c2;c3;d1;d2;d3;d4;e1;e2;e3;e4;e5;e6;e7;e8;f1;f2;f3;f4;g1;g2;g3;g4;g5;j1;j2;j3;j4;j5;u1;u2;u3;u4;u5;u6;u7;u8
Dryops;1;3;0;3;0;1;2;0;1;0;0;0;0;0;1;3;0;0;1;0;3;0;0;0;0;3;3;0;3;3;0;2;0;0;3;3;0;0;0
Dugesia;0;3;0;3;0;3;3;0;3;0;0;0;2;0;0;0;2;0;2;0;0;0;2;0;0;1;3;0;0;0;0;0;1;0;5;0;0;0;0
Dytiscus;0;3;0;3;0;3;3;0;2;0;0;0;0;0;3;0;0;0;1;0;3;0;0;0;0;3;1;0;0;3;0;1;0;3;3;0;0;0;0
Echinogammarus;0;3;0;0;3;3;3;0;3;3;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;3;0;3;0;0;0;0;0;2;3;0;0;0;0
Electrogena;3;0;0;3;0;3;3;0;0;0;1;2;0;0;0;0;0;3;1;1;3;2;0;0;1;2;1;3;0;0;0;0;0;1;5;0;0;0;0
Elmis;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;2;1;0;2;0;0;0;0;3;1;3;3;0;0;1;0;0;4;0;1;0;0
Elodes;1;3;0;3;0;3;3;0;0;0;0;0;0;0;0;3;0;1;1;0;3;0;0;0;0;3;1;3;0;0;0;0;0;0;5;0;0;0;0
Forcipomyinae;3;0;0;2;1;0;2;2;0;0;0;0;3;0;0;0;0;0;0;0;2;1;0;0;0;3;0;3;0;0;0;0;0;0;5;0;0;0;0
Graptodytes;1;3;0;1;3;3;3;0;2;0;0;0;3;0;0;0;0;1;1;0;3;0;0;0;0;3;1;0;0;3;0;1;0;3;3;0;0;0;0
Gyraulus;3;1;0;3;0;3;0;0;3;0;0;0;3;0;0;0;0;2;2;0;0;0;0;0;1;1;3;0;0;0;0;0;1;0;3;0;0;0;0
Gyrinus;1;3;0;3;0;3;3;0;2;0;0;0;3;0;0;0;0;0;2;0;3;0;0;0;0;3;1;3;0;3;0;1;3;3;3;0;0;0;0
Habroleptoides;3;0;0;3;0;3;3;0;0;0;0;0;3;0;0;0;0;2;1;1;1;0;0;0;0;3;1;3;0;0;0;0;0;0;3;1;0;0;0
Habrophlebia;3;0;0;3;0;3;3;0;0;0;1;3;0;0;0;0;0;1;1;1;1;2;0;0;1;1;1;3;0;0;0;0;0;1;3;0;0;0;0
Haliplus;1;3;0;1;3;3;3;0;2;0;0;0;0;0;3;0;0;1;1;0;3;0;0;0;0;3;3;0;0;3;0;1;0;3;3;0;0;0;0
Hemerodromiinae;3;0;0;3;2;0;2;3;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;1;0;0
Hemerodromia;3;0;0;3;2;0;2;3;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;2;1;1;0;0
Hydraena;1;3;0;3;1;3;0;0;3;0;0;0;0;0;0;3;0;2;1;0;3;0;0;0;0;3;0;0;3;2;0;1;0;3;3;0;0;0;0
Hydrocyphon;1;3;0;3;0;3;3;0;0;0;0;0;0;0;0;3;0;2;1;0;3;0;0;0;0;3;1;3;0;0;0;0;0;0;5;0;0;0;0
